"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 -"
"NIFTY 50","25,142.00","25,153.65","25,054.90","25,050.55","25,083.75","-","33.20","0.13","22,65,42,052","21,864.94","26,277.35","21,743.65","-0.16","1.42"
"CIPLA","1,540.10","1,596.00","1,538.70","1,546.10","1,593.90","-","47.80","3.09","16,98,280","268.00","1,702.05","1,335.00","4.90","-1.07"
"DRREDDY","1,245.40","1,281.80","1,240.30","1,245.40","1,277.90","-","32.50","2.61","20,08,295","255.12","1,421.49","1,020.00","-1.10","-82.12"
"BAJAJFINSV","1,984.00","1,998.00","1,974.50","1,958.50","1,978.60","-","20.10","1.03","23,46,236","465.49","2,135.00","1,551.50","-4.64","22.25"
"ICICIBANK","1,440.10","1,447.80","1,436.40","1,430.60","1,444.70","-","14.10","0.99","62,38,645","900.09","1,500.00","1,165.10","-2.40","21.29"
"HINDALCO","701.05","709.00","700.50","700.85","707.05","-","6.20","0.88","32,31,092","228.08","772.65","546.45","2.66","4.15"
"BAJFINANCE","888.00","901.30","884.00","887.80","895.30","-","7.50","0.84","66,97,533","599.24","978.80","645.10","-6.39","-86.79"
"RELIANCE","1,425.00","1,431.90","1,420.30","1,413.00","1,424.30","-","11.30","0.80","1,10,21,323","1,573.34","1,551.00","1,114.85","-1.09","-52.77"
"SBILIFE","1,870.00","1,892.50","1,870.00","1,858.50","1,872.90","-","14.40","0.77","13,16,202","247.52","1,936.00","1,372.55","2.98","5.52"
"LT","3,599.00","3,648.00","3,588.00","3,592.30","3,619.50","-","27.20","0.76","16,24,009","587.87","3,963.50","2,965.30","2.56","0.55"
"BEL","373.00","377.40","371.50","371.85","374.25","-","2.40","0.65","1,26,80,853","475.65","436.00","240.25","-7.03","22.66"
"SHRIRAMFIN","618.00","622.00","615.80","616.30","620.00","-","3.70","0.60","39,93,795","247.21","730.45","493.35","-6.00","-80.50"
"TITAN","3,595.00","3,625.00","3,588.20","3,595.00","3,616.30","-","21.30","0.59","6,73,486","243.24","3,867.00","2,925.00","4.72","3.46"
"SUNPHARMA","1,630.80","1,652.50","1,623.90","1,633.10","1,642.50","-","9.40","0.58","17,27,099","283.33","1,960.35","1,553.05","-3.50","-7.54"
"EICHERMOT","5,990.00","5,992.50","5,898.00","5,937.50","5,967.00","-","29.50","0.50","4,99,089","296.41","6,024.50","4,508.75","6.83","21.59"
"APOLLOHOSP","7,893.00","7,947.00","7,853.00","7,883.00","7,920.00","-","37.00","0.47","4,82,016","380.96","7,947.00","6,001.00","8.66","18.13"
"MARUTI","14,219.00","14,401.00","14,156.00","14,221.00","14,280.00","-","59.00","0.41","5,13,460","733.16","14,401.00","10,725.00","14.64","16.42"
"GRASIM","2,880.00","2,898.40","2,855.00","2,864.90","2,874.40","-","9.50","0.33","11,38,327","328.08","2,898.40","2,276.95","4.49","8.65"
"ONGC","238.00","240.99","237.23","237.93","238.55","-","0.62","0.26","81,11,371","194.11","336.00","205.00","-2.90","-27.92"
"HDFCBANK","1,997.50","1,997.50","1,983.20","1,988.20","1,990.50","-","2.30","0.12","62,19,925","1,238.77","2,037.70","1,613.00","-0.61","21.40"
