"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 16-Aug-2024"
"INDHOTEL","775.65","811.50","775.50","775.15","807.45","-","32.30","4.17","93,10,646","745.83","894.90","607.60","5.30","31.58"
"COLPAL","2,270.00","2,365.00","2,265.40","2,273.50","2,362.50","-","89.00","3.91","10,13,700","236.55","3,890.00","2,151.00","-1.57","-33.56"
"BRITANNIA","5,482.00","5,734.50","5,475.50","5,499.00","5,712.00","-","213.00","3.87","4,53,573","255.86","6,469.90","4,506.00","-0.60","-0.55"
"INFY","1,440.70","1,499.00","1,440.70","1,440.00","1,495.10","-","55.10","3.83","1,04,13,061","1,543.98","2,006.45","1,307.00","-5.67","-19.77"
"PHOENIXLTD","1,503.30","1,574.40","1,503.30","1,503.30","1,559.70","-","56.40","3.75","10,63,752","163.81","1,968.00","1,338.05","5.19","-55.21"
"MARICO","727.85","753.40","717.45","727.95","753.00","-","25.05","3.44","25,43,319","189.06","753.40","577.85","4.39","12.36"
"MPHASIS","2,734.10","2,840.80","2,708.40","2,742.60","2,836.40","-","93.80","3.42","4,89,453","136.95","3,237.95","2,044.55","0.10","-4.78"
"IDEA","6.61","6.94","6.57","6.58","6.80","-","0.22","3.34","54,60,82,602","370.79","16.55","6.12","-12.05","-57.43"
"LODHA","1,259.40","1,302.40","1,254.00","1,257.80","1,298.00","-","40.20","3.20","19,41,354","248.91","1,531.00","1,035.15","-10.03","0.94"
"COFORGE","1,642.40","1,721.00","1,632.70","1,652.70","1,704.80","-","52.10","3.15","21,85,643","368.72","2,005.36","1,194.01","-8.12","-71.81"
"INDUSTOWER","341.85","355.10","341.30","339.95","348.95","-","9.00","2.65","75,36,509","263.72","460.35","312.75","-13.46","-16.61"
"TCS","3,010.90","3,103.40","3,010.90","3,016.20","3,094.80","-","78.60","2.61","49,52,358","1,524.44","4,592.25","2,991.60","-2.86","-30.99"
"NESTLEIND","1,165.00","1,192.80","1,156.70","1,161.40","1,191.00","-","29.60","2.55","16,52,532","195.27","1,389.00","1,055.00","-51.85","-52.45"
"SJVN","94.90","99.10","94.90","94.88","97.28","-","2.40","2.53","1,35,13,219","132.17","143.75","80.54","-1.31","-30.87"
"HINDUNILVR","2,599.00","2,680.00","2,588.50","2,604.80","2,668.00","-","63.20","2.43","31,56,954","839.45","3,035.00","2,136.00","7.24","-2.65"
"VBL","504.90","524.55","504.80","505.40","517.55","-","12.15","2.40","62,26,154","322.28","668.00","419.55","6.76","-65.68"
"DABUR","522.00","536.40","521.10","522.05","534.45","-","12.40","2.38","1,23,45,218","651.54","672.00","433.30","2.37","-13.89"
"GODREJCP","1,211.00","1,252.00","1,211.00","1,218.70","1,245.10","-","26.40","2.17","10,10,033","125.41","1,541.85","979.50","-0.35","-11.17"
"360ONE","1,074.90","1,108.30","1,070.00","1,078.90","1,101.00","-","22.10","2.05","10,46,821","114.35","1,318.00","790.50","-8.26","0.44"
"PERSISTENT","5,200.00","5,370.00","5,200.00","5,236.50","5,342.50","-","106.00","2.02","6,28,849","334.08","6,788.90","4,148.95","-3.65","9.65"
"NTPC","337.80","343.40","336.50","335.05","341.75","-","6.70","2.00","1,08,24,544","368.60","448.45","292.80","-0.03","-15.16"
"CYIENT","1,213.10","1,234.90","1,206.10","1,209.20","1,233.00","-","23.80","1.97","3,84,273","47.05","2,157.45","1,084.05","-3.75","-32.42"
"TECHM","1,488.00","1,532.00","1,487.40","1,496.70","1,526.00","-","29.30","1.96","23,29,633","353.86","1,807.70","1,209.40","-1.60","-4.42"
"CUMMINSIND","3,756.50","3,836.00","3,729.50","3,752.00","3,820.00","-","68.00","1.81","5,59,993","212.58","3,929.00","2,580.00","7.99","1.69"
"TATACONSUM","1,086.00","1,106.90","1,078.90","1,085.80","1,105.30","-","19.50","1.80","8,71,108","95.61","1,234.30","882.90","0.86","-6.12"
"ASTRAL","1,377.00","1,398.00","1,369.10","1,366.10","1,390.50","-","24.40","1.79","15,12,987","209.57","2,037.95","1,232.30","-7.51","-25.97"
"GAIL","175.16","179.39","174.89","174.89","178.00","-","3.11","1.78","1,06,10,680","188.71","245.00","150.52","-3.84","-25.45"
"PAYTM","1,223.00","1,254.40","1,220.40","1,226.20","1,247.50","-","21.30","1.74","55,25,895","684.93","1,254.40","505.55","24.60","117.88"
"MAZDOCK","2,748.00","2,796.00","2,722.00","2,747.40","2,795.00","-","47.60","1.73","12,20,000","335.67","3,775.00","1,918.05","-7.01","-41.31"
"OFSS","8,550.00","8,848.00","8,550.00","8,597.00","8,745.00","-","148.00","1.72","1,46,307","128.04","13,220.00","7,038.00","-0.31","-19.93"
"INDIGO","6,050.00","6,173.50","6,026.50","6,055.50","6,155.00","-","99.50","1.64","5,01,673","307.41","6,232.50","3,780.00","5.02","45.45"
"WIPRO","245.30","252.89","245.30","246.96","251.00","-","4.04","1.64","1,00,99,384","252.73","324.60","228.00","-6.03","-51.74"
"DMART","4,651.50","4,759.90","4,630.10","4,653.20","4,727.90","-","74.70","1.61","12,69,103","598.16","5,484.85","3,340.00","17.03","-5.29"
"TATASTEEL","158.20","162.76","158.03","159.23","161.77","-","2.54","1.60","2,85,20,245","459.52","170.18","122.62","-0.28","5.17"
"FORTIS","952.80","966.00","943.00","948.90","963.45","-","14.55","1.53","20,71,877","198.39","966.00","519.25","20.72","84.24"
"NMDC","70.71","72.38","70.50","70.72","71.77","-","1.05","1.48","2,97,70,419","213.54","82.83","59.53","0.53","-67.33"
"GRASIM","2,828.30","2,883.60","2,807.40","2,828.30","2,869.50","-","41.20","1.46","9,30,944","265.37","2,896.00","2,276.95","5.00","10.26"
"GODREJPROP","2,014.90","2,047.30","2,000.40","2,010.00","2,039.20","-","29.20","1.45","5,90,689","119.82","3,399.00","1,900.00","-13.68","-30.22"
"KPITTECH","1,201.90","1,221.40","1,193.60","1,199.50","1,216.70","-","17.20","1.43","11,16,352","135.26","1,921.00","1,020.60","-4.65","-33.79"
"ANGELONE","2,681.60","2,727.50","2,647.10","2,677.80","2,714.90","-","37.10","1.39","6,58,250","177.39","3,503.15","1,941.00","1.60","16.21"
"HCLTECH","1,468.00","1,500.30","1,458.00","1,476.10","1,496.00","-","19.90","1.35","1,02,19,330","1,510.80","2,012.20","1,302.75","-3.41","-10.87"
"PATANJALI","1,798.70","1,820.50","1,785.70","1,789.80","1,813.00","-","23.20","1.30","11,02,754","199.60","2,011.00","1,570.00","-6.59","0.70"
"LTIM","5,080.00","5,240.00","5,079.50","5,111.00","5,177.00","-","66.00","1.29","3,30,652","171.54","6,767.95","3,802.00","1.10","-8.73"
"NUVAMA","6,829.00","6,877.50","6,670.00","6,789.50","6,876.00","-","86.50","1.27","1,60,944","109.02","8,508.50","4,735.45","-11.31","5.25"
"JSL","756.60","776.95","756.00","757.90","767.40","-","9.50","1.25","7,82,841","60.14","803.00","496.60","13.08","5.79"
"HFCL","74.38","75.73","74.05","74.38","75.29","-","0.91","1.22","47,14,243","35.42","171.00","70.35","-7.71","-45.27"
"BSE","2,505.00","2,533.00","2,485.10","2,491.50","2,522.00","-","30.50","1.22","26,74,274","672.69","3,030.00","882.00","3.04","-5.72"
"UNOMINDA","1,230.00","1,240.00","1,215.20","1,219.90","1,234.40","-","14.50","1.19","8,73,373","107.17","1,255.00","767.60","13.39","5.19"
"ETERNAL","322.40","331.35","320.35","321.45","325.25","-","3.80","1.18","5,57,34,714","1,824.03","331.35","194.80","26.96","-"
