"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 16-Aug-2024"
"NIFTY 50","24,891.35","25,012.65","24,873.95","24,876.95","24,980.65","-","103.70","0.42","25,23,40,828","24,781.86","26,277.35","21,743.65","0.05","1.66"
"TATAMOTORS","676.75","703.35","673.10","676.00","700.50","-","24.50","3.62","1,94,40,384","1,351.30","1,142.00","535.75","2.94","-35.62"
"ADANIPORTS","1,332.00","1,371.70","1,325.00","1,327.20","1,370.00","-","42.80","3.22","31,50,673","426.30","1,517.00","995.65","-5.11","-8.49"
"RELIANCE","1,390.00","1,421.00","1,389.10","1,381.70","1,421.00","-","39.30","2.84","1,43,84,719","2,033.42","1,551.00","1,114.85","-3.79","-52.29"
"HEROMOTOCO","4,984.00","5,139.00","4,984.00","4,984.00","5,116.80","-","132.80","2.66","15,09,894","767.90","6,246.25","3,344.00","16.41","-1.36"
"BAJAJ-AUTO","8,609.00","8,856.00","8,586.00","8,588.50","8,771.00","-","182.50","2.12","10,52,384","923.90","12,774.00","7,089.35","5.37","-9.98"
"ADANIENT","2,339.90","2,395.60","2,314.10","2,333.60","2,380.70","-","47.10","2.02","10,69,432","253.26","3,211.00","2,025.00","-8.00","-23.02"
"ETERNAL","316.50","321.90","311.70","314.90","321.00","-","6.10","1.94","3,65,92,945","1,163.22","323.70","194.80","24.98","-"
"TECHM","1,472.00","1,499.60","1,464.40","1,471.20","1,499.60","-","28.40","1.93","18,07,647","268.56","1,807.70","1,209.40","-3.37","-6.14"
"TATACONSUM","1,076.70","1,092.90","1,069.00","1,071.30","1,091.40","-","20.10","1.88","6,67,231","72.16","1,234.30","882.90","-0.92","-7.78"
"NESTLEIND","1,149.60","1,168.00","1,130.20","1,144.10","1,165.10","-","21.00","1.84","18,51,158","212.46","1,389.00","1,055.00","-53.02","-53.60"
"HINDUNILVR","2,572.20","2,615.00","2,558.40","2,568.10","2,604.00","-","35.90","1.40","14,00,717","362.54","3,035.00","2,136.00","4.63","-5.02"
"KOTAKBANK","1,994.00","2,032.50","1,992.50","2,001.40","2,027.30","-","25.90","1.29","31,11,769","629.46","2,301.90","1,679.05","-5.17","13.95"
"MARUTI","14,070.00","14,270.00","13,979.00","14,068.00","14,235.00","-","167.00","1.19","9,06,623","1,283.88","14,270.00","10,725.00","14.74","17.29"
"BHARTIARTL","1,901.10","1,931.80","1,900.00","1,892.30","1,912.90","-","20.60","1.09","57,06,265","1,093.62","2,045.80","1,446.50","0.46","29.94"
"TATASTEEL","158.50","159.46","156.76","157.96","159.20","-","1.24","0.79","2,12,24,239","336.43","170.18","122.62","-1.93","3.42"
"WIPRO","245.46","247.50","244.78","245.21","247.15","-","1.94","0.79","40,90,961","100.85","324.60","228.00","-7.49","-52.48"
"ITC","406.35","409.40","404.50","406.30","409.10","-","2.80","0.69","1,66,81,331","678.68","528.50","390.15","-3.23","-18.42"
"ULTRACEMCO","12,787.00","12,880.00","12,629.00","12,765.00","12,850.00","-","85.00","0.67","3,51,252","449.28","12,904.00","10,047.85","2.92","13.68"
"JIOFIN","330.00","333.20","328.45","329.35","331.40","-","2.05","0.62","88,42,923","292.42","363.00","198.65","4.56","-0.05"
"INFY","1,432.70","1,449.40","1,432.70","1,435.80","1,442.50","-","6.70","0.47","39,86,094","574.93","2,006.45","1,307.00","-9.21","-22.78"
"EICHERMOT","5,918.00","5,995.00","5,891.50","5,912.00","5,936.00","-","24.00","0.41","8,43,617","502.64","6,024.50","4,508.75","5.53","23.38"
