"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 -"
"MOTHERSON","94.10","99.85","93.90","94.08","99.60","-","5.52","5.87","3,00,83,383","294.70","144.66","71.50","-1.55","-46.60"
"IIFL","448.95","473.25","446.55","449.00","473.00","-","24.00","5.35","22,63,754","105.60","560.60","279.80","-11.46","3.93"
"PAYTM","1,178.70","1,233.40","1,167.00","1,173.80","1,229.00","-","55.20","4.70","79,23,718","955.88","1,233.40","505.55","22.42","114.07"
"EXIDEIND","377.45","394.45","376.00","376.30","394.00","-","17.70","4.70","2,44,57,473","937.63","534.40","328.00","2.28","-20.96"
"PNBHOUSING","788.40","824.70","783.65","786.20","818.70","-","32.50","4.13","1,02,53,695","831.27","1,202.20","746.70","-24.44","-0.57"
"BANDHANBNK","167.32","174.42","165.54","167.15","173.99","-","6.84","4.09","79,51,208","136.46","215.44","128.16","-6.96","-9.38"
"ASTRAL","1,320.20","1,370.90","1,304.00","1,313.70","1,366.50","-","52.80","4.02","18,53,945","250.15","2,037.95","1,232.30","-9.34","-27.44"
"TATAMOTORS","676.75","703.35","673.10","676.00","700.50","-","24.50","3.62","1,94,40,384","1,351.30","1,142.00","535.75","2.94","-35.62"
"NYKAA","219.17","227.50","215.59","219.17","226.70","-","7.53","3.44","84,40,492","188.99","229.80","154.90","6.56","17.75"
"CONCOR","540.00","556.00","538.60","537.80","556.00","-","18.20","3.38","11,51,826","63.26","801.00","481.00","-9.50","-42.68"
"PETRONET","275.00","283.35","273.10","273.75","282.95","-","9.20","3.36","24,80,560","69.53","384.20","269.60","-6.93","-24.65"
"TIINDIA","3,051.50","3,172.90","3,049.80","3,051.20","3,150.00","-","98.80","3.24","3,39,925","106.74","4,810.80","2,407.10","8.00","-20.87"
"ADANIPORTS","1,332.00","1,371.70","1,325.00","1,327.20","1,370.00","-","42.80","3.22","31,50,673","426.30","1,517.00","995.65","-5.11","-8.49"
"ADANIGREEN","942.05","975.50","937.45","941.65","971.75","-","30.10","3.20","18,86,130","180.84","2,091.00","758.00","-5.51","-48.71"
"LTF","210.88","217.65","208.00","210.45","217.09","-","6.64","3.16","94,49,871","203.19","217.65","129.20","6.83","31.53"
"INOXWIND","141.00","148.21","139.28","139.99","144.40","-","4.41","3.15","3,23,27,968","469.69","259.31","129.03","-12.21","-32.29"
"SYNGENE","664.00","684.60","657.20","663.65","683.70","-","20.05","3.02","8,73,852","58.84","960.60","599.55","3.93","-17.20"
"PGEL","536.10","543.85","529.10","528.60","543.85","-","15.25","2.88","61,02,934","327.69","1,054.20","465.00","-33.22","3.93"
"RELIANCE","1,390.00","1,421.00","1,389.10","1,381.70","1,421.00","-","39.30","2.84","1,43,84,719","2,033.42","1,551.00","1,114.85","-3.79","-52.29"
"SUZLON","58.25","59.75","57.72","58.07","59.64","-","1.57","2.70","10,03,39,049","591.10","86.04","46.15","-8.41","-26.17"
"HEROMOTOCO","4,984.00","5,139.00","4,984.00","4,984.00","5,116.80","-","132.80","2.66","15,09,894","767.90","6,246.25","3,344.00","16.41","-1.36"
"VEDL","442.00","451.00","440.15","438.20","449.75","-","11.55","2.64","1,20,00,341","537.44","526.95","363.00","0.99","1.68"
"SJVN","92.90","95.20","92.50","92.68","95.04","-","2.36","2.55","41,74,921","39.31","143.75","80.54","-4.04","-32.78"
"SONACOMS","445.80","466.65","444.15","444.95","456.15","-","11.20","2.52","52,21,932","239.37","768.65","380.00","-5.11","-34.06"
"BPCL","315.20","322.20","312.70","314.00","321.90","-","7.90","2.52","43,43,312","137.95","376.00","234.01","-6.42","-6.50"
"SUPREMEIND","4,530.00","4,615.90","4,473.30","4,496.00","4,605.00","-","109.00","2.42","2,89,685","131.94","5,720.00","3,095.00","9.05","-12.71"
"COLPAL","2,231.90","2,278.00","2,210.10","2,225.00","2,278.00","-","53.00","2.38","4,66,365","104.85","3,890.00","2,151.00","-5.04","-35.90"
"PAGEIND","44,800.00","45,890.00","44,525.00","44,690.00","45,750.00","-","1,060.00","2.37","26,437","119.47","50,590.00","38,850.00","-2.35","11.17"
"LAURUSLABS","869.95","886.50","865.80","865.65","886.00","-","20.35","2.35","15,65,331","137.30","922.50","427.05","6.88","102.43"
"HFCL","73.03","74.95","72.93","72.93","74.61","-","1.68","2.30","78,59,206","58.30","171.00","70.35","-8.80","-45.92"
"POLICYBZR","1,874.00","1,916.50","1,861.60","1,866.60","1,908.60","-","42.00","2.25","6,35,201","120.60","2,246.90","1,311.35","8.60","15.82"
"HINDPETRO","388.00","397.85","386.15","387.05","395.60","-","8.55","2.21","42,27,710","166.27","457.15","287.55","-8.13","2.13"
"CANBK","109.50","111.90","109.05","109.34","111.75","-","2.41","2.20","2,00,03,557","221.56","119.30","78.60","-2.43","1.61"
"FEDERALBNK","196.69","200.55","195.30","195.79","200.05","-","4.26","2.18","51,29,740","101.68","220.00","172.66","-5.85","-1.30"
"DMART","4,584.90","4,661.60","4,561.30","4,558.00","4,656.00","-","98.00","2.15","8,56,309","396.03","5,484.85","3,340.00","14.93","-6.99"
"CYIENT","1,180.00","1,212.20","1,176.50","1,182.00","1,207.00","-","25.00","2.12","2,70,368","32.38","2,157.45","1,084.05","-5.43","-33.60"
"BAJAJ-AUTO","8,609.00","8,856.00","8,586.00","8,588.50","8,771.00","-","182.50","2.12","10,52,384","923.90","12,774.00","7,089.35","5.37","-9.98"
"LICHSGFIN","570.00","582.80","567.00","567.80","579.70","-","11.90","2.10","42,24,172","243.60","735.55","483.70","-7.72","-13.22"
"VOLTAS","1,345.00","1,382.80","1,345.00","1,349.20","1,377.30","-","28.10","2.08","9,58,153","131.08","1,944.90","1,135.00","0.14","-14.23"
"UPL","697.50","709.45","693.00","690.95","705.00","-","14.05","2.03","20,30,825","142.91","735.85","484.90","2.98","26.17"
"ADANIENT","2,339.90","2,395.60","2,314.10","2,333.60","2,380.70","-","47.10","2.02","10,69,432","253.26","3,211.00","2,025.00","-8.00","-23.02"
"IDFCFIRSTB","69.76","71.60","69.65","69.90","71.28","-","1.38","1.97","1,94,96,992","137.84","78.45","52.46","-2.46","-1.00"
"UNITDSPR","1,315.00","1,333.80","1,303.00","1,307.50","1,333.00","-","25.50","1.95","18,46,772","242.40","1,700.00","1,271.10","-2.47","-5.30"
"ETERNAL","316.50","321.90","311.70","314.90","321.00","-","6.10","1.94","3,65,92,945","1,163.22","323.70","194.80","24.98","-"
"TECHM","1,472.00","1,499.60","1,464.40","1,471.20","1,499.60","-","28.40","1.93","18,07,647","268.56","1,807.70","1,209.40","-3.37","-6.14"
"TATACONSUM","1,076.70","1,092.90","1,069.00","1,071.30","1,091.40","-","20.10","1.88","6,67,231","72.16","1,234.30","882.90","-0.92","-7.78"
"IDEA","6.52","6.62","6.49","6.46","6.58","-","0.12","1.86","35,30,99,427","231.28","16.55","6.12","-14.77","-58.75"
"360ONE","1,064.20","1,082.40","1,058.40","1,062.30","1,082.00","-","19.70","1.85","4,87,563","52.28","1,318.00","790.50","-10.26","-1.74"
"NESTLEIND","1,149.60","1,168.00","1,130.20","1,144.10","1,165.10","-","21.00","1.84","18,51,158","212.46","1,389.00","1,055.00","-53.02","-53.60"
"TATATECH","671.95","684.00","670.05","671.75","683.95","-","12.20","1.82","6,18,239","41.97","1,136.00","597.00","-4.18","-31.64"
"MAXHEALTH","1,212.60","1,236.80","1,208.00","1,211.60","1,233.00","-","21.40","1.77","20,76,532","254.25","1,314.30","836.60","1.13","40.58"
"DELHIVERY","465.20","473.40","464.35","465.20","473.00","-","7.80","1.68","23,90,920","112.50","474.10","236.53","10.87","9.13"
"BANKBARODA","242.70","247.30","241.63","242.77","246.80","-","4.03","1.66","57,67,582","141.35","266.95","190.70","0.96","-0.12"
"HUDCO","211.40","216.15","210.00","210.94","214.43","-","3.49","1.65","31,37,737","67.18","299.70","158.85","-5.27","-26.10"
"NATIONALUM","188.70","191.50","188.11","188.33","191.41","-","3.08","1.64","57,09,282","108.73","262.99","137.75","1.75","11.64"
"OIL","403.00","408.95","401.45","401.45","408.00","-","6.55","1.63","8,53,141","34.63","767.90","325.00","-8.89","-40.82"
"IRFC","125.41","126.98","124.05","124.77","126.78","-","2.01","1.61","73,50,713","92.49","187.33","108.04","-5.26","-29.62"
"NMDC","69.75","70.80","69.48","69.58","70.70","-","1.12","1.61","2,04,65,260","144.05","82.83","59.53","-1.01","-67.83"
"ABCAPITAL","284.75","289.60","279.50","283.15","287.55","-","4.40","1.55","53,66,409","153.69","289.60","149.01","8.70","34.91"
"KEI","3,911.70","3,972.40","3,878.00","3,901.40","3,962.00","-","60.60","1.55","5,03,218","197.94","4,779.90","2,424.00","0.45","-9.63"
"NCC","219.47","222.60","218.19","218.97","222.35","-","3.38","1.54","15,73,324","34.76","330.80","170.05","-2.33","-32.18"
"YESBANK","19.12","19.39","19.03","19.09","19.38","-","0.29","1.52","4,60,74,068","88.60","24.94","16.02","-4.07","-20.86"
"NAUKRI","1,359.50","1,385.00","1,343.60","1,353.60","1,374.10","-","20.50","1.51","10,22,673","139.54","1,825.78","1,157.00","1.17","-81.32"
"BHEL","217.85","220.14","216.04","216.62","219.88","-","3.26","1.50","53,59,240","116.94","304.00","176.00","-12.30","-25.21"
